page,name,link,thumbnail,rating,date,snippet,images,local_guide
1,Muhammad Alfi,https://www.google.com/maps/contrib/107459313163840388966?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJSp9pGKTJznrm7GfgO6_kfRhreA0NeGwluid4cGZQEXgL2DA=s120-c-rp-mo-br100,1.0,5 bulan lalu,"Lihat ulasannya pada ngeri semua, seharusnya pemkab paham hal ini, & semestinya ditindak lanjuti, Bagaimana kondisi konsumen. Kayak saya ini kaget juga. Apa saya yg kurang paham, soalnya tagihan biasanya ±250an, sekarang kok hampir 500. Ini yang dicatat angka yg warna hitam aja, apa angka yg hitam sekalian merah jugakah?? Soalnya uda 2 kali ganti meteran, yang pertama karena meteran lama, trus ganti padahal ndak ada masalah, tetapi ada petugas menyuruh ganti lagi, saya juga ndak paham tp ikut saja(ndak ada ongkos sama sekali). Yg saya pertanyakan kok tiba2 naik nya hampir 100%, ngitungnya gimana?? Ini ada foto bulan Januari masuk ke februari","['https://lh3.googleusercontent.com/geougc-cs/AB3l90DNdBluHPOWiCoCsmNrQOIppHuN4isJrRAMPvyPM0q-uMS8j5vRTI6mWhPRtEx9LVAtUdEs1-6O7pTpK2T9a8dLOBXy80wTQsfYCnhxeBzXFbPAtEoQgVYnT6NKoMr9Lsgda8QEeg', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90AnEX_ASldw2xQwNOE2p_8ZB5YjN1G-C3CHcSVUDfr9-gAxhZ_6-GDlJgZJqZVzAYPzNhu2XWbxqMDh0qemWMxt8zxL3eHYw-RWh85RLm1BbbHnPhArqy1LyA9dCb7ZMeYukA45']",True
1,Rizky Haura Nindya Safitri,https://www.google.com/maps/contrib/113632222415008685234?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKZYbIZOTDweP0bznJbBm0PRQvgcLnvoXu7udjRg3Vsspg52w=s120-c-rp-mo-br100,1.0,sebulan lalu,"emang gak masuk akal blas ini, tagihan bisa mbludak 6x lipat, itu rumah kosongggg gak ada yg nempatin. biasa saya bayar tarif minimum aja sekitar 50k an, tau tau bulan april 380k edan! sudah dicek sama suami saya gaada kebocoran di tandon maupun pipa pipa, baca ulasan teman2 disini ternyata banyak yg mengeluhkan, dzalim banget kalian PDAM, haram bgt duit yg kalian makan! 42m3 itu buat ngisi kolam renang tempat saya kerja 2x gak masuk akal blas konsumsi air dalam rumah tangga segitu gedenya",['https://lh3.googleusercontent.com/geougc-cs/AB3l90BSWHoMoYmSNPSRNj6wz-8ZKTKqj2d4tdYIOmGz6cGEcnUMGMmMSWmSkbNGNilwiKEQ0G5Im_ApbN0b1Y5L1KrOxo_BGPWYXEOYXnAhV30_EndgFZ9jb1fMlzX1jvANw4hjfRtQpA'],True
1,Anindita Heriani,https://www.google.com/maps/contrib/106295154630902716756?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjV6rjET--m-cgYjA_24uBs1qfc-efh0nByHXHz72TzGc2G0BVQl=s120-c-rp-mo-br100,1.0,sebulan lalu,"Perusahaan paling buruk sepanjang masa. 2 bulan ini tagihan naik 3-4x lipat. Udah komplain ditunjukin meteran jg alesane ada pipa bocor, trs itu akumulasi dari bocor bulan2 sebelumnya. Lha berarti meteran dari pdam jelek dong.

Komplain langsung ke kantor, petugase sibuk ngaca. Buset itu meja kerja buat ngelayanin publik dipajang kaca segede muka. Gak profesional. Jd model aja kalo pingine ngaca terus buk 🫢🫢🫢",,True
1,Intan Permatasari,https://www.google.com/maps/contrib/105000314991171568992?hl=id,https://lh3.googleusercontent.com/a/ACg8ocIIDsJet68xlRVI6h8IZdghYbLMjSuTwA_O14nvIMo-CgZw3Q=s120-c-rp-mo-br100,1.0,2 minggu lalu,"Palayanan tidak bagus, ada kebocoran tidak diinfokan sampai pembayaran 1,6 juta. Tidak ada petugas kontrol yang menginfokan. Datang ke kantor pengaduan juga pelayanan tidak ramah. Petugas di dalam tidak sibuk bekerja. Benahi tlong sistemnya sangat mengecewakan",,True
1,Napiz,https://www.google.com/maps/contrib/108718506310398346223?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXyXUNZypEBm_mVv_475b36tJt2IgfyaSt7izpyBGXQUul0w3y_Tg=s120-c-rp-mo-br100,1.0,2 minggu lalu,"Setelah baca ulasan ternyata ga cuma saya yang kena, penggunaan wajar cuma 50k pemakaian seorang diri tapi tagihan 3 bulan terakhir udh kek mau ngisi kolam njir. dirumah udah di pastikan tidak ada kebocoran tapi tagihan beberapa bulan ini tetap ga ngotak!",['https://lh3.googleusercontent.com/geougc-cs/AB3l90BMCUm3xZd94zTPZKTcqm_cJ6CcwS0h8krq6J4X1WTELEu1A8HbpkFYqi6sLgkeMy350opa7YEdr_VSROYzvRj8igV6K-SWYXLpb1RyG5Bt2Mc72xcpo5ArKIOczeqeiMTk77mbdzEdOakS'],True
1,S Indahyani,https://www.google.com/maps/contrib/118216559811841276532?hl=id,https://lh3.googleusercontent.com/a/ACg8ocI1eIMl4NsZUB7F7oCXXdOXh0YGfY0Q3eyRtZljUTfezDE1yw=s120-c-rp-mo-ba2-br100,1.0,2 bulan lalu,"Dendanya kurang banyak pak, masak cuma 15%, sekalian 50% dong biar sengsara sekalian pelanggannya

1 Mei 2025 ngecek tagihan PDAM diangka 1 jt lebih, kaget dong, lha rumah itu kosong. Ga bayar dulu sampai tgl 15 Mei kmr mau bayar lupa, tgl 16 Mei pagi ngecek tagihan eh nambah 154.400, telp pdam ternyata ada denda 15%, ya Allah banyak banget dendanya, itu rumah kosong harus bayar PDAM hampir 1.2 jt, padahal saya cek ga ada yang bocor, itu meteran rusak apa gimana? Kalo ga dibayar udah pasti dendanya bulan depan nambah, terpaksa bayar walau hati menangis.",,True
1,Veronica Yuniawati,https://www.google.com/maps/contrib/115240263042013301744?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVcmd9jiz-MTTHkBsc-Ftt_7BH87mWhW93Ls-he5nLHh-vVwcKw=s120-c-rp-mo-br100,1.0,2 bulan lalu,"Baca ulasan di Google review, dan ternyata mengalami hal yg saya alami.
Tagihan bulan Mei 2025 membengkak sampai 9 kali lipat..
Rumah saya masih baru dan hanya dihuni weekend.
Biasa sebulan habis 50k sekitar 1-2m3, bulan ini ditagih sampai 450k sekitar 50m3.

Mohon maaf, saya ga ada kolam renang, lha ini volume segitu banyak lari kemana???

Waktu setelah libur lebaran pun waktu saya kesana, meteran saya tiba-tiba dimatikan dari pusat tanpa pemberitahuan apapun. Padahal saya selalu bayar tiap bulan dan ga pernah nunggak. Bisa nyala lagi setelah suami saya buat pengaduan dan itu pun susah sekali untuk telponnya diangkat.

Minta tolong call center dan service customernya diperbaiki dong...
Masyarakat sebagai customer jangan dipersulit apabila mau melakukan pengaduan.",,True
1,Bur Cang,https://www.google.com/maps/contrib/111113655111584315884?hl=id,https://lh3.googleusercontent.com/a/ACg8ocIBZaDk56n7lmOJDuhAdx4rlJDf6z9mWdwF5JLcYvUhxZLrxg=s120-c-rp-mo-br100,1.0,2 minggu lalu,"kenapa ya tagihannya selalu mbengkak mulu, dulu hampir nggak pernah tiap bulan nyentuh 200++ mungkin ada 1x 2x tapi nggak yang sesering ini yang setiap bulan selalu 200+++, berusaha nekan supaya 200 kebawah tetep gabisa2 padahal rutinitas sama dari yang dulu hingga sekarang aktivitas sama tagihan malah naik mulu",,True
2,Tika Retnani,https://www.google.com/maps/contrib/102501328155327353852?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWHNNvcebIGPuqWwYNMgXe7bKowZH9vt7z3W_wN_jVZkQOHsOo=s120-c-rp-mo-br100,1.0,sebulan lalu,"Bisa bisanya rumah isinya cuman bapak2 satu orang dengan penggunaan air wajar, tiap bulan abis 23-42meter kubik keatas, berasa punya kolam renang bapak saya, mana airnya kecil lagi, tolonglah jangan dikorupsi. gaberkah yg kerja disini, anak istrinya dikasih uang gak berkah!! Yuk bisa diperbaiki.",,True
2,Jasa Supanji,https://www.google.com/maps/contrib/109338673922059412012?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWOk2fIDA9uwc-V-984KfbeM0ZGcFojCH9etCrWVk3XEWSUNkZO=s120-c-rp-mo-ba2-br100,1.0,3 minggu lalu,"Iseng2 buka Google nyari PDAM sidoarjo, ternyata ulasan Jelek banget....
Kebetulan juga baru mengalami hal yg kurang mengenakan, pengajuan pindah meteran aja hampir 2 minggu blum ada tindakan. beda sama di Surabaya, di Surabaya pengaduan ndak sampek 3 hari sudah terpasang rapi...
Klo di pdam sidoarjo ada aja alasannya nunggu alat lah , tukang gajinya sakit pinggang lah... ..

Kecewa sangat... semoga bis di perbaiki.",,True
2,dewi baybas,https://www.google.com/maps/contrib/112252729203789173284?hl=id,https://lh3.googleusercontent.com/a/ACg8ocI7FKSY3lxRxa35CPxw7uYSZebFdKPNJsSCRv7JRPQVZP8pmQ=s120-c-rp-mo-br100,1.0,3 minggu lalu,Sudah dalam 1 bulan ini banyak ndak nyalanya pdamnya.. tagihan malah naik.. anehh bangettt sumpah. Baru kali ini susah banget masalah air. Admin WA di japri juga ndak pernah bales. Entahlah kerja apa.,,True
2,danish nurfattah,https://www.google.com/maps/contrib/113009293053322882953?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVqO5FydIbt1Oc0hiISad1hyukkCdvxlu1Lh--ZWu6AzGfIEx5C=s120-c-rp-mo-ba3-br100,1.0,2 bulan lalu,"Tidak ada kebocoran saluran air , kamar mandi beres , tagihan air pdam kok naik 800rb ya , padahal penghuni kost gak penuh , awal bulan lalu pulang kampung semua selama seminggu lebih , aktif mungkin cuma 23 hari , biasanya bayar 2,6 juta jadi 3,4 juta , tolong apa bisa menjelaskan ? Ada kenaikan tarif apa ada kerusakan dalam meter air ,",,True
2,I*** Me,https://www.google.com/maps/contrib/103750452504585195191?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJa-zjDGTiMbJgWdd8cpfvMjPDx0gypoGru8uX7XiWXlQ4e7w=s120-c-rp-mo-br100,1.0,2 minggu lalu,Kenapa tarif PDAm tiap bulan sepertinya naik ..mahal banget sekarang ..apa ga perna di kontrol model awur2 aja...banyak yg komplain ga ada tanggapan gimana ni???,,True
2,Annisa Rahma Indawati,https://www.google.com/maps/contrib/102424947226918425578?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUBIrCI6UV_OJPr-wwVZhiuR-mLhmILUhv6qOG4N-CnZJba-ZAS=s120-c-rp-mo-br100,1.0,2 bulan lalu,"Yth PDAM Sidoarjo
Tolong diperbaiki lagi masalah tagihan. Ini bener2 diluar akal. Pemakaian air dalam sebulan bisa tembus 818.000 itu rinciannya bagaimana? Pdahal saya cuma pemakaian pribadi.
Saya lihat juga banyak komentar pengguna PDAM yg protes mengenai tagihan yg sangat2 melonjak, bukan 2x lipat lagi ini. Udh 10x lipat dari biasanya.  Kami berharap ada kejelasan dari pihak PDAM Sidoarjo. Tks",,True
